session_id,session_length,pages_visited,unique_domains,domain_switches,category_switches,session_complexity,avg_ram,peak_ram,avg_cpu,ram_per_page,ram_per_domain,ram_per_switch,session_intensity,cluster
287,4.01333,3,1,0,0,3,7595.44,7595.44,58.6,2531.813333333333,7595.44,7595.44,3,2
288,853.022725,3,3,2,1,6,7595.44,7595.44,58.6,2531.813333333333,2531.813333333333,2531.813333333333,6,2
289,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,2
290,7826.137096,53,4,5,3,61,7595.44,7595.44,58.6,143.3101886792453,1898.86,1265.9066666666668,61,1
291,2.293627,5,2,1,0,6,7595.44,7595.44,58.6,1519.088,3797.72,3797.72,6,2
292,1395.072058,8,3,7,7,22,7595.44,7595.44,58.6,949.43,2531.813333333333,949.43,22,0
293,0.501517,3,2,1,1,5,7595.44,7595.44,58.6,2531.813333333333,3797.72,3797.72,5,2
294,121.803481,2,2,1,1,4,7595.44,7595.44,58.6,3797.72,3797.72,3797.72,4,2
295,22.629178,3,1,0,0,3,7595.44,7595.44,58.6,2531.813333333333,7595.44,7595.44,3,2
296,31.250856,5,3,2,1,8,7595.44,7595.44,58.6,1519.088,2531.813333333333,2531.813333333333,8,2
297,572.402098,16,6,8,7,31,7595.44,7595.44,58.6,474.715,1265.9066666666663,843.9377777777777,31,0
298,4602.082856,40,9,19,18,77,7595.44,7595.44,58.6,189.886,843.9377777777777,379.772,77,1
299,3588.251022,56,3,3,1,60,7595.44,7595.44,58.6,135.63285714285715,2531.813333333333,1898.86,60,0
300,3085.106673,27,3,3,0,30,7595.439999999999,7595.44,58.6,281.3125925925925,2531.813333333333,1898.86,30,0
301,3344.539846,44,3,4,0,48,7595.44,7595.44,58.6,172.62363636363636,2531.813333333333,1519.088,48,0
302,7519.447328,107,10,21,13,141,7595.44,7595.44,58.6,70.98542056074766,759.544,345.2472727272728,141,1
303,4778.46263,87,5,6,5,98,7595.439999999999,7595.44,58.6,87.303908045977,1519.0879999999995,1085.062857142857,98,1
