timestamp,ram_used_mb,browser_ram_mb,cpu_percent
2026-03-04 22:26:51.340379,7595.44,2425.2,58.6
2026-03-04 22:26:56.929617,7640.13,2400.9,16.2
2026-03-04 22:27:02.434428,7628.26,2385.92,22.7
2026-03-04 22:27:07.914891,7613.62,2386.16,6.7
2026-03-04 22:27:13.399228,7641.31,2388.06,14.3
2026-03-04 22:27:18.910107,7698.53,2456.97,38.8
2026-03-04 22:27:25.177983,7689.04,2433.57,31.3
2026-03-04 22:27:30.710323,7680.17,2433.55,19.9
2026-03-04 22:27:36.266936,7680.54,2432.2,14.6
2026-03-04 22:27:41.769055,7673.82,2424.96,15.9
2026-03-04 22:27:47.296487,7674.04,2421.19,18.2
2026-03-04 22:27:52.844072,7668.28,2425.41,46.3
2026-03-04 22:27:58.544264,7680.5,2437.86,34.8
2026-03-04 22:28:04.048601,7666.23,2429.23,33.0
2026-03-04 22:28:09.615953,7681.34,2436.35,28.9
2026-03-04 22:28:15.108179,7675.96,2432.84,50.2
2026-03-04 22:28:20.590572,7673.01,2437.48,30.3
2026-03-04 22:28:26.118416,7823.64,2607.04,31.1
2026-03-04 22:28:31.653623,7920.98,2722.08,48.6
2026-03-04 22:28:37.183687,7543.04,2486.04,32.1
2026-03-04 22:28:42.692365,7573.78,2507.25,29.0
2026-03-04 22:28:48.194373,7668.62,2612.41,30.2
2026-03-04 22:28:53.713732,7366.89,2297.25,12.5
2026-03-04 22:28:59.192607,7516.65,2381.44,21.7
2026-03-04 22:29:05.174084,7344.66,2300.67,25.3
2026-03-04 22:29:10.650028,7343.87,2297.9,8.0
2026-03-04 22:29:16.114733,7343.26,2299.97,6.6
2026-03-04 22:29:21.588613,7342.77,2304.1,6.0
2026-03-04 22:29:27.074140,7340.42,2304.6,8.8
2026-03-04 22:29:32.558433,7376.57,2246.39,19.2
2026-03-04 22:29:38.101232,7532.64,2288.99,30.2
2026-03-04 22:29:43.659533,7534.62,2289.35,8.5
2026-03-04 22:29:49.193718,7531.29,2227.3,7.3
2026-03-04 22:29:54.719543,7442.92,2231.16,6.7
2026-03-04 22:30:00.228041,7434.85,2231.08,10.8
2026-03-04 22:30:05.735309,7440.75,2232.41,7.0
2026-03-04 22:30:11.259502,7409.45,2198.06,42.4
2026-03-04 22:30:16.754671,7407.03,2195.39,7.3
2026-03-04 22:30:22.283091,7406.19,2195.4,7.2
2026-03-04 22:30:27.789626,7405.33,2195.4,4.9
2026-03-04 22:30:33.283974,7397.72,2195.4,7.2
2026-03-04 22:30:38.798279,7379.66,2195.05,8.4
2026-03-04 22:30:44.300710,7454.97,2195.0,10.0
2026-03-04 22:30:49.818874,7455.73,2196.02,7.2
2026-03-04 22:30:55.312482,7454.47,2199.55,6.8
2026-03-04 22:31:00.815437,7452.15,2199.53,7.2
2026-03-04 22:31:06.318215,7454.2,2199.5,4.7
2026-03-04 22:31:11.809218,7383.62,2194.54,7.1
2026-03-04 22:31:17.306216,7386.83,2194.54,5.9
2026-03-04 22:31:22.796408,7386.73,2194.54,6.2
2026-03-04 22:31:28.299784,7385.87,2194.6,5.7
2026-03-04 22:31:33.785400,7366.44,2194.6,9.0
2026-03-04 22:31:39.272847,7381.59,2194.61,7.2
2026-03-04 22:31:44.783190,7381.78,2194.73,8.0
2026-03-04 22:31:50.271310,7381.21,2199.96,5.7
2026-03-04 22:31:55.756193,7381.72,2199.79,6.8
2026-03-04 22:32:01.255278,7438.62,2199.77,20.4
2026-03-04 22:32:06.783141,7432.73,2194.8,6.6
2026-03-04 22:32:12.315945,7433.3,2194.8,7.1
2026-03-04 22:32:17.841975,7433.14,2194.79,6.7
2026-03-04 22:32:23.365070,7432.21,2194.77,5.7
2026-03-04 22:32:28.894409,7431.11,2194.75,5.6
2026-03-04 22:32:34.426051,7447.11,2267.06,12.1
2026-03-04 22:32:39.956544,7459.39,2266.32,6.3
2026-03-04 22:32:45.465554,7459.39,2266.32,7.1
2026-03-04 22:32:50.983977,7459.46,2266.54,5.7
2026-03-04 22:32:56.511007,7459.51,2266.54,6.6
2026-03-04 22:33:02.017792,7423.17,2195.19,5.9
2026-03-04 22:33:07.532135,7423.21,2195.18,7.5
2026-03-04 22:33:13.058072,7423.03,2195.12,7.1
2026-03-04 22:33:18.580165,7420.7,2195.12,7.0
2026-03-04 22:33:24.093582,7418.9,2195.09,5.2
2026-03-04 22:33:29.591867,7418.38,2195.07,8.5
2026-03-04 22:33:35.112229,7397.42,2195.08,9.8
2026-03-04 22:33:40.658972,7401.28,2195.08,8.2
2026-03-04 22:33:46.162937,7403.04,2195.08,7.5
2026-03-04 22:33:51.666047,7414.43,2200.66,5.6
2026-03-04 22:33:57.146419,7414.16,2200.66,6.5
2026-03-04 22:34:02.627179,7393.82,2200.66,6.1
2026-03-04 22:34:08.109904,7389.37,2195.69,7.0
2026-03-04 22:34:13.595507,7388.29,2195.67,5.2
2026-03-04 22:34:19.051563,7387.8,2195.73,7.2
2026-03-04 22:34:24.510818,7388.66,2208.54,5.1
2026-03-04 22:34:29.995048,7389.84,2208.49,8.5
2026-03-04 22:34:35.490225,7372.48,2200.57,8.6
2026-03-04 22:34:40.971255,7384.07,2197.89,7.5
2026-03-04 22:34:46.457582,7385.0,2197.59,6.7
2026-03-04 22:34:51.935246,6177.46,630.41,25.3
2026-03-04 22:34:57.440793,5848.17,630.41,5.5
2026-03-04 22:35:02.920576,5848.73,630.4,10.4
2026-03-04 22:35:08.406497,5847.46,630.4,5.1
2026-03-04 22:35:13.878269,5847.31,630.41,8.6
2026-03-04 22:35:19.353339,5839.02,630.42,17.6
2026-03-04 22:35:24.832154,5837.32,630.41,4.8
2026-03-04 22:35:30.304713,5853.28,630.54,9.3
2026-03-04 22:35:35.768131,5840.78,630.54,5.6
2026-03-04 22:35:41.255817,5862.17,634.46,6.6
2026-03-04 22:35:46.721413,5862.96,634.57,5.1
2026-03-04 22:35:52.196570,5863.86,634.71,7.2
2026-03-04 22:35:57.668656,5877.88,634.71,14.3
2026-03-04 22:36:03.165419,5928.36,707.32,12.8
2026-03-04 22:36:08.643827,5925.37,706.93,7.2
2026-03-04 22:36:14.127912,5925.1,706.06,6.8
2026-03-04 22:36:19.602236,5924.72,706.07,4.4
2026-03-04 22:36:25.087160,5924.62,706.07,8.0
2026-03-04 22:36:30.585866,5904.75,705.97,6.3
2026-03-04 22:36:36.053249,5874.36,634.63,7.2
2026-03-04 22:36:41.537206,5874.52,634.64,5.9
2026-03-04 22:36:47.011682,5874.28,634.63,8.7
2026-03-04 22:36:52.495078,5874.16,634.62,6.1
2026-03-04 22:36:57.990857,5875.15,634.67,6.2
2026-03-04 22:37:03.480353,5871.44,634.7,7.7
2026-03-04 22:37:08.937298,5865.4,634.7,6.4
2026-03-04 22:37:14.457484,5863.3,634.7,6.6
2026-03-04 22:37:19.943926,5862.05,634.71,5.4
2026-03-04 22:37:25.408470,5879.14,634.73,10.3
2026-03-04 22:37:30.883014,5861.54,634.73,6.0
2026-03-04 22:37:36.356913,5876.51,634.72,7.2
2026-03-04 22:37:41.834812,5876.98,634.73,6.8
2026-03-04 22:37:47.302641,5875.97,634.73,6.7
