timestamp,window_title,browser
2026-03-30 16:51:23.494189,RAM_Analyser – run_pipeline.py,unknown
2026-03-30 16:51:28.501685,RAM_Analyser – run_pipeline.py,unknown
2026-03-30 16:51:33.512996,RAM_Analyser – run_pipeline.py,unknown
2026-03-30 16:51:38.516499,RAM_Analyser – run_pipeline.py,unknown
2026-03-30 16:51:43.528810,RAM_Analyser – run_pipeline.py,unknown
2026-03-30 16:51:48.528945,RAM_Analyser – run_pipeline.py,unknown
2026-03-30 16:51:53.535701,RAM_Analyser – run_pipeline.py,unknown
2026-03-30 16:51:58.540781,RAM_Analyser – run_pipeline.py,unknown
2026-03-30 16:52:03.551199,RAM_Analyser – run_pipeline.py,unknown
2026-03-30 16:52:08.556909,RAM_Analyser – run_pipeline.py,unknown
2026-03-30 16:52:13.568298,RAM_Analyser – run_pipeline.py,unknown
2026-03-30 16:52:18.579808,RAM_Analyser – run_pipeline.py,unknown
2026-03-30 16:52:23.582686,RAM_Analyser – run_pipeline.py,unknown
2026-03-30 16:52:28.584869,RAM_Analyser – run_pipeline.py,unknown
2026-03-30 16:52:33.592500,RAM_Analyser – run_pipeline.py,unknown
2026-03-30 16:52:38.597139,RAM_Analyser – run_pipeline.py,unknown
2026-03-30 16:52:43.612576,RAM_Analyser – run_pipeline.py,unknown
2026-03-30 16:52:48.623185,RAM_Analyser – run_pipeline.py,unknown
2026-03-30 16:52:53.627105,RAM_Analyser – run_pipeline.py,unknown
2026-03-30 16:52:58.640559,RAM_Analyser – run_pipeline.py,unknown
2026-03-30 16:53:03.646372,RAM_Analyser – run_pipeline.py,unknown
2026-03-30 16:53:08.651613,RAM_Analyser – run_pipeline.py,unknown
2026-03-30 16:53:13.653759,RAM_Analyser – run_pipeline.py,unknown
2026-03-30 16:53:18.664442,RAM_Analyser – run_pipeline.py,unknown
2026-03-30 16:53:23.669095,RAM_Analyser – run_pipeline.py,unknown
2026-03-30 16:53:28.677822,RAM_Analyser – run_pipeline.py,unknown
2026-03-30 16:53:33.690440,RAM_Analyser – run_pipeline.py,unknown
