session_id,session_length,pages_visited,unique_domains,domain_switches,category_switches,session_complexity,avg_ram,peak_ram,avg_cpu,ram_per_page,ram_per_domain,ram_per_switch,session_intensity,anomaly_score,is_anomaly
135,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,0.17856991588749355,False
136,665.432265,7,2,1,1,9,7595.44,7595.44,58.6,1085.0628571428572,3797.72,3797.72,9,0.07065327385656948,False
137,47.559676,3,1,0,0,3,7595.44,7595.44,58.6,2531.813333333333,7595.44,7595.44,3,0.00476755661732928,False
138,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,0.17856991588749355,False
139,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,0.17856991588749355,False
140,11.081974,3,1,0,0,3,7595.44,7595.44,58.6,2531.813333333333,7595.44,7595.44,3,0.004633897758832972,False
141,1.805403,3,1,0,0,3,7595.44,7595.44,58.6,2531.813333333333,7595.44,7595.44,3,0.004652334185365486,False
142,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,0.17856991588749355,False
143,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,0.17856991588749355,False
144,0.555007,2,2,1,1,4,7595.44,7595.44,58.6,3797.72,3797.72,3797.72,4,0.03814535588214473,False
145,120.350102,4,2,2,2,8,7595.44,7595.44,58.6,1898.86,3797.72,2531.813333333333,8,0.03213233217876137,False
146,45.373265,3,2,2,2,7,7595.44,7595.44,58.6,2531.813333333333,3797.72,2531.813333333333,7,0.03795698999423807,False
147,138.213076,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,0.004075581580281291,False
148,154.140181,14,2,1,1,16,7595.44,7595.44,58.6,542.5314285714286,3797.72,3797.72,16,0.017067075857145023,False
149,17.571242,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,0.008881303291598952,False
150,1.499143,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,0.00980671982580302,False
151,314.281855,4,1,0,0,4,7595.44,7595.44,58.6,1898.86,7595.44,7595.44,4,0.030428791898795472,False
152,430.235704,7,3,3,3,13,7595.44,7595.44,58.6,1085.0628571428572,2531.813333333333,1898.86,13,0.09061476335794909,False
153,828.869081,4,2,1,0,5,7595.44,7595.44,58.6,1898.86,3797.72,3797.72,5,0.09595667712113921,False
154,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,0.17856991588749355,False
155,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,0.17856991588749355,False
156,56.88496,4,3,3,3,10,7595.44,7595.44,58.6,1898.86,2531.813333333333,1898.86,10,0.11282426694998292,False
157,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,0.17856991588749355,False
158,4.075917,3,2,1,1,5,7595.44,7595.44,58.6,2531.813333333333,3797.72,3797.72,5,0.019780787465715766,False
159,104.063306,15,5,12,11,38,7595.44,7595.44,58.6,506.36266666666666,1519.088,584.2646153846154,38,0.853471461021486,True
160,18.123737,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,0.008850686516204475,False
161,42.231543,3,1,0,0,3,7595.44,7595.44,58.6,2531.813333333333,7595.44,7595.44,3,0.004727531746530425,False
162,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,0.17856991588749355,False
163,13.756247,5,1,0,0,5,7595.44,7595.44,58.6,1519.088,7595.44,7595.44,5,0.0183583578066365,False
164,4.472018,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,0.009630492336446457,False
165,16.913609,8,1,0,0,8,7595.44,7595.44,58.6,949.43,7595.44,7595.44,8,0.03325657324709095,False
166,3963.527614,46,1,0,0,46,7595.44,7595.44,58.6,165.1182608695652,7595.44,7595.44,46,1.7650495440807894,True
167,1635.333886,12,5,7,6,25,7595.44,7595.44,58.6,632.9533333333333,1519.088,949.43,25,0.36317543236187433,False
168,467.066593,4,2,1,1,6,7595.44,7595.44,58.6,1898.86,3797.72,3797.72,6,0.038665316408977836,False
169,111.649389,5,3,3,3,11,7595.44,7595.44,58.6,1519.088,2531.813333333333,1898.86,11,0.09871305275278537,False
170,10.620472,3,2,1,1,5,7595.44,7595.44,58.6,2531.813333333333,3797.72,3797.72,5,0.019602841037454903,False
171,5.259876,3,1,0,0,3,7595.44,7595.44,58.6,2531.813333333333,7595.44,7595.44,3,0.004642983662887669,False
172,883.611504,14,4,3,3,20,7595.44,7595.44,58.6,542.5314285714286,1898.86,1898.86,20,0.19028124173167965,False
173,29.202042,3,2,2,2,7,7595.44,7595.44,58.6,2531.813333333333,3797.72,2531.813333333333,7,0.038494601332214114,False
174,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,0.17856991588749355,False
175,3695.788278,72,16,27,9,108,7595.439999999999,7595.44,58.6,105.4922222222222,474.7149999999999,271.26571428571424,108,4.113618647167725,True
176,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,0.17856991588749355,False
177,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,0.17856991588749355,False
178,84.675681,6,3,3,3,12,7595.44,7595.44,58.6,1265.9066666666663,2531.813333333333,1898.86,12,0.08964786432573395,False
179,7.289678,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,0.009465578085830052,False
180,5.786642,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,0.009553292109881945,False
181,51.095377,10,2,1,1,12,7595.44,7595.44,58.6,759.544,3797.72,3797.72,12,0.010811277344697464,False
182,1.522463,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,0.009805329216744652,False
183,470.969392,19,4,8,3,30,7595.44,7595.44,58.6,399.76,1898.86,843.9377777777777,30,0.2593786182750758,False
184,241.431782,6,2,1,1,8,7595.44,7595.44,58.6,1265.9066666666663,3797.72,3797.72,8,0.022267027053965403,False
185,0.85346,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,0.009845302602057128,False
186,560.510217,9,1,0,0,9,7595.439999999999,7595.44,58.6,843.9377777777777,7595.439999999999,7595.439999999999,9,0.10614232647688,False
187,99.640755,12,1,0,0,12,7595.44,7595.44,58.6,632.9533333333333,7595.44,7595.44,12,0.06392413360146758,False
188,32.887703,2,1,0,0,2,7595.44,7595.44,58.6,3797.72,7595.44,7595.44,2,0.008061797960315292,False
189,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,0.17856991588749355,False
190,403.152716,7,2,1,1,9,7595.44,7595.44,58.6,1085.0628571428572,3797.72,3797.72,9,0.03720265168090619,False
191,337.430951,12,2,1,1,14,7595.44,7595.44,58.6,632.9533333333333,3797.72,3797.72,14,0.028847560583408087,False
192,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,0.17856991588749355,False
193,2650.30904,60,11,20,9,89,7595.44,7595.44,58.6,126.59066666666666,690.4945454545455,361.687619047619,89,1.4536366800040252,True
194,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,0.17856991588749355,False
195,991.397244,19,2,5,5,29,7595.44,7595.44,58.6,399.76,3797.72,1265.9066666666663,29,0.10024444807670572,False
196,208.560965,28,1,0,0,28,7595.44,7595.44,58.6,271.2657142857143,7595.44,7595.44,28,0.2392028573141392,False
197,207.519119,2,2,1,1,4,7595.44,7595.44,58.6,3797.72,3797.72,3797.72,4,0.025531930062999482,False
198,45.955478,4,3,2,2,8,7595.44,7595.44,58.6,1898.86,2531.813333333333,2531.813333333333,8,0.08753552730738814,False
199,1266.205825,27,7,11,5,43,7595.439999999999,7595.44,58.6,281.3125925925925,1085.062857142857,632.9533333333333,43,0.6753987130179492,True
200,1104.708175,14,4,7,7,28,7595.44,7595.44,58.6,542.5314285714286,1898.86,949.43,28,0.22159895865062987,False
201,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,0.17856991588749355,False
202,393.070513,13,2,2,2,17,7595.44,7595.44,58.60000000000001,584.2646153846155,3797.72,2531.813333333333,17,0.024656586311070476,False
203,468.11091,13,4,6,6,25,7595.44,7595.44,58.60000000000001,584.2646153846155,1898.86,1085.0628571428572,25,0.21494825201732107,False
204,1400.590283,16,2,2,2,20,7595.44,7595.44,58.6,474.715,3797.72,2531.813333333333,20,0.1814445215718841,False
205,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,0.17856991588749355,False
206,2564.421877,14,3,3,3,20,7595.44,7595.44,58.6,542.5314285714286,2531.813333333333,1898.86,20,0.3802349214018687,False
207,15.611211,3,2,1,1,5,7595.44,7595.44,58.6,2531.813333333333,3797.72,3797.72,5,0.019474215033407703,False
208,0.0,1,1,0,0,1,7595.44,7595.44,58.6,7595.44,7595.44,7595.44,1,0.17856991588749355,False
