session_id,session_length,pages_visited,unique_domains,domain_switches,category_switches,session_complexity,avg_ram,peak_ram,avg_cpu,ram_per_page,ram_per_domain,ram_per_switch,session_intensity,efficiency_score,ram_efficiency,high_ram_usage,cluster,cluster_label
639,35.813195,10,5,5,4,12,6982.07,6982.07,42.8,698.207,1396.414,1163.6783333333333,19,0.335072031411886,0.0017186880108621,True,0,Casual Browsing
640,118.421333,12,3,4,4,14,6982.07,6982.07,42.79999999999999,581.8391666666666,2327.3566666666666,1396.414,20,0.1182219423252058,0.0020051360126724,True,0,Casual Browsing
641,1.0,2,2,2,1,4,6982.07,6982.07,42.8,3491.035,3491.035,2327.3566666666666,5,4.0,0.0005728960036207,True,0,Casual Browsing
643,1.0,2,1,1,0,3,6982.07,6982.07,42.8,3491.035,6982.07,3491.035,3,3.0,0.0004296720027155,True,0,Casual Browsing
644,119.756826,3,1,1,0,4,6982.07,6982.07,42.79999999999999,2327.3566666666666,6982.07,3491.035,4,0.0334010188279372,0.0005728960036207,True,0,Casual Browsing
645,1545.130534,40,11,21,12,42,6982.07,6982.07,42.8,174.55175,634.7336363636364,317.3668181818182,73,0.0271821694515811,0.0060154080380173,True,1,Heavy Multitasking
671,1.0,1,1,1,0,2,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,2,2.0,0.0002864480018103,True,0,Casual Browsing
471,845.811672,6,4,4,4,8,6982.07,6982.07,42.79999999999999,1163.6783333333333,1745.5175,1396.414,14,0.0094583703025559,0.0011457920072414,True,0,Casual Browsing
474,1.0,1,1,1,0,2,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,2,2.0,0.0002864480018103,True,0,Casual Browsing
475,83.723168,14,3,5,3,16,6982.07,6982.07,42.8,498.7192857142857,2327.3566666666666,1163.6783333333333,22,0.1911060030599893,0.0022915840144828,True,0,Casual Browsing
476,207.522633,3,2,1,1,5,6982.07,6982.07,42.79999999999999,2327.3566666666666,3491.035,3491.035,5,0.024093757522824,0.0007161200045258,True,0,Casual Browsing
477,632.4264,12,3,5,3,14,6982.07,6982.07,42.79999999999999,581.8391666666666,2327.3566666666666,1163.6783333333333,20,0.022136963289325,0.0020051360126724,True,0,Casual Browsing
478,233.995861,3,2,2,3,5,6982.07,6982.07,42.79999999999999,2327.3566666666666,3491.035,2327.3566666666666,8,0.0213678993236551,0.0007161200045258,True,0,Casual Browsing
479,534.416082,12,6,7,3,14,6982.07,6982.07,42.79999999999999,581.8391666666666,1163.6783333333333,872.75875,22,0.0261968164348766,0.0020051360126724,True,0,Casual Browsing
481,1.0,1,1,1,0,2,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,2,2.0,0.0002864480018103,True,0,Casual Browsing
482,83.283107,8,3,4,3,10,6982.07,6982.07,42.8,872.75875,2327.3566666666666,1396.414,15,0.1200723695382786,0.0014322400090517,True,0,Casual Browsing
495,3.752422,3,2,2,0,4,6982.07,6982.07,42.79999999999999,2327.3566666666666,3491.035,2327.3566666666666,5,1.0659781868883618,0.0005728960036207,True,0,Casual Browsing
496,94.401676,5,2,2,2,7,6982.07,6982.07,42.8,1396.414,3491.035,2327.3566666666666,9,0.0741512258744219,0.0010025680063362,True,0,Casual Browsing
497,480.764592,5,2,2,2,7,6982.07,6982.07,42.8,1396.414,3491.035,2327.3566666666666,9,0.0145601404855538,0.0010025680063362,True,0,Casual Browsing
498,8.627193,3,2,2,1,4,6982.07,6982.07,42.79999999999999,2327.3566666666666,3491.035,2327.3566666666666,6,0.4636502278319263,0.0005728960036207,True,0,Casual Browsing
499,2581.685232,57,15,30,16,59,6982.07,6982.07,42.8,122.49245614035088,465.4713333333333,225.22806451612905,103,0.0228532894981521,0.0084502160534053,True,1,Heavy Multitasking
500,57.74837,25,5,12,13,27,6982.07,6982.07,42.8,279.2828,1396.414,537.0823076923077,50,0.4675456640594357,0.0038670480244397,True,0,Casual Browsing
501,206.268128,2,2,2,2,4,6982.07,6982.07,42.8,3491.035,3491.035,2327.3566666666666,6,0.0193922349457692,0.0005728960036207,True,0,Casual Browsing
502,1.0,1,1,1,0,2,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,2,2.0,0.0002864480018103,True,0,Casual Browsing
617,111.930836,5,4,5,2,7,6982.07,6982.07,42.8,1396.414,1745.5175,1163.6783333333333,12,0.0625386198312679,0.0010025680063362,True,0,Casual Browsing
632,933.261655,21,3,5,3,23,6982.07,6982.07,42.8,332.4795238095238,2327.3566666666666,1163.6783333333333,29,0.0246447498156345,0.003294152020819,True,0,Casual Browsing
633,1.0,1,1,1,0,2,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,2,2.0,0.0002864480018103,True,0,Casual Browsing
634,1.0,1,1,1,0,2,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,2,2.0,0.0002864480018103,True,0,Casual Browsing
635,1.0,1,1,1,0,2,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,2,2.0,0.0002864480018103,True,0,Casual Browsing
636,52.653517,3,2,2,0,4,6982.07,6982.07,42.79999999999999,2327.3566666666666,3491.035,2327.3566666666666,5,0.0759683346508458,0.0005728960036207,True,0,Casual Browsing
637,1007.436567,6,3,4,0,7,6982.07,6982.07,42.79999999999999,1163.6783333333333,2327.3566666666666,1396.414,10,0.006948328291125,0.0010025680063362,True,0,Casual Browsing
638,206.175334,9,4,4,0,10,6982.07,6982.07,42.8,775.7855555555556,1745.5175,1396.414,13,0.0485024071793185,0.0014322400090517,True,0,Casual Browsing
511,1.0,3,1,0,0,3,6982.07,6982.07,42.79999999999999,2327.3566666666666,6982.07,6982.07,3,3.0,0.0004296720027155,True,0,Casual Browsing
512,7.697996,2,1,0,0,2,6982.07,6982.07,42.8,3491.035,6982.07,6982.07,2,0.2598078772709157,0.0002864480018103,True,0,Casual Browsing
