session_id,session_length,pages_visited,unique_domains,domain_switches,category_switches,session_complexity,avg_ram,peak_ram,avg_cpu,ram_per_page,ram_per_domain,ram_per_switch,session_intensity,efficiency_score,ram_efficiency,high_ram_usage,anomaly_score,is_anomaly
329,987.122825,13,4,4,4,15,6982.070000000001,6982.07,42.8,537.0823076923077,1745.5175000000002,1396.4140000000002,21,0.0151956773970858,0.0021483600135776,True,0.007752714335663875,False
157,393.070513,13,2,3,2,15,6982.070000000001,6982.07,42.8,537.0823076923077,3491.0350000000003,1745.5175000000002,18,0.0381610919768993,0.0021483600135776,True,0.018073260993961452,False
124,1463.672246,26,7,13,10,28,6982.070000000001,6982.07,42.8,268.54115384615386,997.4385714285715,498.7192857142858,49,0.0191299657942683,0.0040102720253449,True,0.024671952075688872,False
121,1635.333886,13,7,11,3,15,6982.070000000001,6982.07,42.8,537.0823076923077,997.4385714285715,581.8391666666668,27,0.0091724388080098,0.0021483600135776,True,0.12796986808568653,False
158,468.11091,13,4,6,4,15,6982.070000000001,6982.07,42.8,537.0823076923077,1745.5175000000002,997.4385714285715,23,0.0320436881080169,0.0021483600135776,True,0.023670680618878392,False
272,1030.453822,26,8,11,12,28,6982.070000000001,6982.07,42.8,268.54115384615386,872.7587500000001,581.8391666666668,49,0.0271724937131632,0.0040102720253449,True,0.06621551008558794,False
142,630.906887,13,2,1,3,14,6982.070000000001,6982.07,42.8,537.0823076923077,3491.0350000000003,3491.0350000000003,17,0.0221902792448039,0.0020051360126724,True,0.019332498638278652,False
129,3733.169418,79,27,46,21,81,6982.070000000001,6982.07,42.8,88.38063291139241,258.5951851851852,148.55468085106384,146,0.0216973812143234,0.0116011440733192,True,0.7354110227293662,True
318,1632.547083,43,7,12,4,45,6982.070000000001,6982.07,42.8,162.37372093023257,997.4385714285715,537.0823076923077,59,0.0275642892438404,0.0064450800407329,True,0.017667313871428607,False
672,817.300356,43,15,23,14,45,6982.070000000001,6982.07,42.8,162.37372093023257,465.47133333333335,290.9195833333334,80,0.055059317752212,0.0064450800407329,True,0.4687368094319368,True
367,2482.205314,26,4,7,2,28,6982.070000000001,6982.07,42.8,268.54115384615386,1745.5175000000002,872.7587500000001,35,0.0112802916995124,0.0040102720253449,True,0.19446182855609292,False
368,1317.249992,43,3,9,3,45,6982.070000000001,6982.07,42.8,162.37372093023257,2327.356666666667,698.2070000000001,55,0.034162080298574,0.0064450800407329,True,0.141445668839367,False
373,914.904985,77,1,1,1,79,6982.070000000001,6982.07,42.8,90.67623376623378,6982.070000000001,3491.0350000000003,79,0.0863477642981691,0.0113146960715088,True,1.210461079717492,True
350,2767.68044,43,6,13,7,45,6982.070000000001,6982.07,42.8,162.37372093023257,1163.6783333333335,498.7192857142858,63,0.0162591025140171,0.0064450800407329,True,0.1594156203146164,False
384,1223.701199,13,5,8,6,15,6982.070000000001,6982.07,42.8,537.0823076923077,1396.4140000000002,775.7855555555557,27,0.0122578943391228,0.0021483600135776,True,0.033252292409055424,False
406,2242.342259,26,8,16,10,28,6982.070000000001,6982.07,42.8,268.54115384615386,872.7587500000001,410.71,52,0.0124869430113166,0.0040102720253449,True,0.11098378596256704,False
435,3782.586023,79,12,26,17,81,6982.070000000001,6982.07,42.8,88.38063291139241,581.8391666666668,258.5951851851852,122,0.0214139214567705,0.0116011440733192,True,0.1728110013268294,False
441,450.807986,13,1,1,0,14,6982.070000000001,6982.07,42.8,537.0823076923077,6982.070000000001,3491.0350000000003,14,0.031055350470211,0.0020051360126724,True,0.03381161384708129,False
459,1112.848867,13,5,6,2,15,6982.070000000001,6982.07,42.8,537.0823076923077,1396.4140000000002,997.4385714285715,21,0.0134789192358498,0.0021483600135776,True,0.031131852611335078,False
646,490.146697,13,4,7,6,15,6982.070000000001,6982.07,42.8,537.0823076923077,1745.5175000000002,872.7587500000001,26,0.0306030828970372,0.0021483600135776,True,0.029990041724149298,False
631,1782.797834,26,7,12,5,28,6982.070000000001,6982.07,42.8,268.54115384615386,997.4385714285715,537.0823076923077,43,0.0157056506722231,0.0040102720253449,True,0.03595459579428206,False
492,117.078192,13,4,6,5,15,6982.070000000001,6982.07,42.8,537.0823076923077,1745.5175000000002,997.4385714285715,24,0.1281195049544325,0.0021483600135776,True,0.05443107855219315,False
510,1254.335554,43,6,12,2,45,6982.070000000001,6982.07,42.8,162.37372093023257,1163.6783333333335,537.0823076923077,57,0.0358755676314027,0.0064450800407329,True,0.048867352407325815,False
