session_id,session_length,pages_visited,unique_domains,domain_switches,category_switches,session_complexity,avg_ram,peak_ram,avg_cpu,ram_per_page,ram_per_domain,ram_per_switch,session_intensity,efficiency_score,ram_efficiency,high_ram_usage
329,987.122825,13,4,4,4,15,6982.070000000001,6982.07,42.8,537.0823076923077,1745.5175000000002,1396.4140000000002,21,0.015195677397085819,0.0021483600135776353,True
157,393.070513,13,2,3,2,15,6982.070000000001,6982.07,42.8,537.0823076923077,3491.0350000000003,1745.5175000000002,18,0.03816109197689932,0.0021483600135776353,True
124,1463.672246,26,7,13,10,28,6982.070000000001,6982.07,42.8,268.54115384615386,997.4385714285715,498.7192857142858,49,0.019129965794268396,0.0040102720253449185,True
121,1635.333886,13,7,11,3,15,6982.070000000001,6982.07,42.8,537.0823076923077,997.4385714285715,581.8391666666668,27,0.009172438808009878,0.0021483600135776353,True
158,468.11091,13,4,6,4,15,6982.070000000001,6982.07,42.8,537.0823076923077,1745.5175000000002,997.4385714285715,23,0.032043688108016964,0.0021483600135776353,True
272,1030.453822,26,8,11,12,28,6982.070000000001,6982.07,42.8,268.54115384615386,872.7587500000001,581.8391666666668,49,0.02717249371316321,0.0040102720253449185,True
142,630.906887,13,2,1,3,14,6982.070000000001,6982.07,42.8,537.0823076923077,3491.0350000000003,3491.0350000000003,17,0.022190279244803997,0.0020051360126724592,True
129,3733.169418,79,27,46,21,81,6982.070000000001,6982.07,42.8,88.38063291139241,258.5951851851852,148.55468085106384,146,0.02169738121432345,0.01160114407331923,True
318,1632.547083,43,7,12,4,45,6982.070000000001,6982.07,42.8,162.37372093023257,997.4385714285715,537.0823076923077,59,0.02756428924384045,0.0064450800407329055,True
672,817.300356,43,15,23,14,45,6982.070000000001,6982.07,42.8,162.37372093023257,465.47133333333335,290.9195833333334,80,0.05505931775221202,0.0064450800407329055,True
367,2482.205314,26,4,7,2,28,6982.070000000001,6982.07,42.8,268.54115384615386,1745.5175000000002,872.7587500000001,35,0.011280291699512493,0.0040102720253449185,True
368,1317.249992,43,3,9,3,45,6982.070000000001,6982.07,42.8,162.37372093023257,2327.356666666667,698.2070000000001,55,0.03416208029857403,0.0064450800407329055,True
373,914.904985,77,1,1,1,79,6982.070000000001,6982.07,42.8,90.67623376623378,6982.070000000001,3491.0350000000003,79,0.08634776429816916,0.011314696071508878,True
350,2767.68044,43,6,13,7,45,6982.070000000001,6982.07,42.8,162.37372093023257,1163.6783333333335,498.7192857142858,63,0.016259102514017115,0.0064450800407329055,True
384,1223.701199,13,5,8,6,15,6982.070000000001,6982.07,42.8,537.0823076923077,1396.4140000000002,775.7855555555557,27,0.012257894339122895,0.0021483600135776353,True
406,2242.342259,26,8,16,10,28,6982.070000000001,6982.07,42.8,268.54115384615386,872.7587500000001,410.71000000000004,52,0.012486943011316632,0.0040102720253449185,True
435,3782.586023,79,12,26,17,81,6982.070000000001,6982.07,42.8,88.38063291139241,581.8391666666668,258.5951851851852,122,0.02141392145677053,0.01160114407331923,True
441,450.807986,13,1,1,0,14,6982.070000000001,6982.07,42.8,537.0823076923077,6982.070000000001,3491.0350000000003,14,0.031055350470211057,0.0020051360126724592,True
459,1112.848867,13,5,6,2,15,6982.070000000001,6982.07,42.8,537.0823076923077,1396.4140000000002,997.4385714285715,21,0.01347891923584984,0.0021483600135776353,True
646,490.146697,13,4,7,6,15,6982.070000000001,6982.07,42.8,537.0823076923077,1745.5175000000002,872.7587500000001,26,0.03060308289703725,0.0021483600135776353,True
631,1782.797834,26,7,12,5,28,6982.070000000001,6982.07,42.8,268.54115384615386,997.4385714285715,537.0823076923077,43,0.01570565067222311,0.0040102720253449185,True
492,117.078192,13,4,6,5,15,6982.070000000001,6982.07,42.8,537.0823076923077,1745.5175000000002,997.4385714285715,24,0.1281195049544325,0.0021483600135776353,True
510,1254.335554,43,6,12,2,45,6982.070000000001,6982.07,42.8,162.37372093023257,1163.6783333333335,537.0823076923077,57,0.03587556763140272,0.0064450800407329055,True
526,858.214808,111,9,18,8,113,6982.070000000001,6982.07,42.79999999999999,62.90153153153154,775.7855555555557,367.4773684210527,137,0.131668667269139,0.01618431210228485,True
575,666.73447,26,8,12,2,28,6982.070000000001,6982.07,42.8,268.54115384615386,872.7587500000001,537.0823076923077,40,0.04199572882439991,0.0040102720253449185,True
569,733.414495,13,1,1,0,14,6982.070000000001,6982.07,42.8,537.0823076923077,6982.070000000001,3491.0350000000003,14,0.019088796438363274,0.0020051360126724592,True
599,502.928376,13,2,2,0,14,6982.070000000001,6982.07,42.8,537.0823076923077,3491.0350000000003,2327.356666666667,15,0.027836965794906746,0.0020051360126724592,True
664,1106.164529,52,12,24,15,54,6982.070000000001,6982.07,42.8,134.27057692307693,581.8391666666668,279.2828,91,0.048817331042803676,0.007734096048879487,True
13,119.159957,6,1,0,0,6,6982.07,6982.07,42.79999999999999,1163.6783333333333,6982.07,6982.07,6,0.05035248544106138,0.0008593440054310541,True
15,37.920857,3,2,3,0,4,6982.07,6982.07,42.79999999999999,2327.3566666666666,3491.035,1745.5175,6,0.10548284813288898,0.0005728960036207027,True
16,1.0,1,1,1,0,2,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,2,2.0,0.00028644800181035137,True
17,165.36165,5,3,4,0,6,6982.07,6982.07,42.8,1396.414,2327.3566666666666,1396.414,9,0.036284108195582226,0.0008593440054310541,True
18,2947.020593,36,2,6,0,37,6982.07,6982.07,42.8,193.9463888888889,3491.035,997.4385714285714,42,0.012555053089172628,0.0052992880334915005,True
19,1.0,1,1,1,0,2,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,2,2.0,0.00028644800181035137,True
20,54.904288,7,2,2,0,8,6982.07,6982.07,42.8,997.4385714285714,3491.035,2327.3566666666666,9,0.14570810935568457,0.0011457920072414055,True
21,72.791466,6,2,1,0,7,6982.07,6982.07,42.79999999999999,1163.6783333333333,3491.035,3491.035,7,0.0961651191363559,0.0010025680063362298,True
22,66.148211,2,1,1,0,3,6982.07,6982.07,42.8,3491.035,6982.07,3491.035,3,0.04535270046834675,0.00042967200271552705,True
680,343.220201,19,1,1,4,21,6982.07,6982.07,42.8,367.47736842105263,6982.07,3491.035,24,0.06118520978315027,0.0030077040190086895,True
45,17.842192,2,1,1,0,3,6982.07,6982.07,42.8,3491.035,6982.07,3491.035,3,0.16814077552802928,0.00042967200271552705,True
46,9.49925,8,1,1,0,9,6982.07,6982.07,42.8,872.75875,6982.07,3491.035,9,0.9474432192015159,0.0012890160081465813,True
47,1.0,1,1,1,0,2,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,2,2.0,0.00028644800181035137,True
48,1.0,1,1,1,0,2,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,2,2.0,0.00028644800181035137,True
