session_id,session_duration,pages_visited,domain_switches,category_switches,complexity,engagement,dominant_category
246,2288.581418,49,24,17,131,high,other
247,1.0,1,0,0,1,low,other
248,1.0,2,0,0,2,low,search
249,4125.79451,27,14,8,71,high,other
250,1403.240421,20,2,2,28,high,other
251,1.0,1,0,0,1,low,other
252,1.493689,3,2,2,11,medium,other
253,19.54055,5,2,0,9,medium,other
254,389.372785,8,4,1,18,high,search
255,255.699987,6,0,0,6,medium,search
256,29.116105,3,0,0,3,low,search
257,4111.404483,72,2,0,76,high,search
258,1132.845649,19,0,0,19,high,search
259,2398.39136,47,8,5,73,high,search
260,502.576034,10,2,1,16,high,other
261,274.840135,12,3,3,24,high,other
262,295.525386,6,2,2,14,medium,other
263,255.399976,4,1,1,8,medium,entertainment
264,416.92681,6,2,2,14,medium,entertainment
265,62.942539,2,0,0,2,low,other
266,272.359351,8,0,0,8,medium,search
267,1586.118219,11,2,1,17,high,other
268,1.0,1,0,0,1,low,other
269,4.01333,3,1,0,5,medium,other
270,853.022725,3,2,2,11,medium,other
271,1.0,1,0,0,1,low,other
272,8495.669987,69,13,7,109,high,other
273,462.764617,6,2,2,14,medium,search
274,1.0,3,1,1,7,medium,search
275,876.620603,5,0,0,5,medium,search
276,492.887827,5,2,2,13,medium,search
277,1.0,1,0,0,1,low,other
278,1.0,1,0,0,1,low,other
279,123.608982,3,0,0,3,low,search
280,412.804687,4,2,1,10,medium,other
281,1.0,3,1,1,7,medium,search
282,694.932098,7,3,3,19,high,search
283,78.179514,4,1,1,8,medium,search
284,1.0,3,1,1,7,medium,search
285,338.137928,5,3,2,15,high,search
286,1.017977,3,1,1,7,medium,search
287,100.24882,5,2,2,13,medium,search
288,1.0,1,0,0,1,low,other
289,1.0,2,0,0,2,low,search
290,82.315539,5,2,2,13,medium,search
291,1030.453822,26,10,7,60,high,search
292,244.48642,27,1,1,31,high,entertainment
293,1.0,1,0,0,1,low,entertainment
294,1.0,1,0,0,1,low,entertainment
295,165.254795,7,1,1,11,medium,search
296,275.815837,17,2,2,25,high,search
297,201.28129,5,1,1,9,medium,learning
298,443.113316,8,2,1,14,medium,search
299,161.351814,6,1,1,10,medium,search
300,1.0,2,0,0,2,low,search
301,3883.693777,53,16,10,105,high,search
302,1.0,1,0,0,1,low,search
303,21.452128,3,1,1,7,medium,search
304,128.001423,4,0,0,4,low,learning
305,886.305761,34,14,13,88,high,search
306,149.574829,5,0,0,5,medium,entertainment
307,138.944168,31,8,5,57,high,other
308,1391.809812,15,0,0,15,high,other
309,1159.217917,12,1,0,14,medium,other
310,2808.904316,60,0,0,60,high,other
311,1.0,3,1,1,7,medium,search
312,1.0,1,0,0,1,low,search
313,332.198892,4,1,1,8,medium,search
314,2481.389239,15,8,8,47,high,search
315,804.007443,3,1,1,7,medium,search
316,1.0,1,0,0,1,low,search
317,80.272301,17,6,0,29,high,other
318,5391.297767,126,61,39,326,high,other
