Year,Avg_Malnutrition
2012,5.56663843809127
2013,5.508852149571429
2014,5.457065545865079
2015,5.410763916400794
2016,5.369359912920635
2017,5.332160564722223
2018,5.298486695769841
2019,5.269580725523809
2020,5.245664611484127
2021,5.226825815142857
2022,5.213564382519841
