Region,Avg_Obesity
Africa,5.41520374464539
Americas,18.40210251394349
Eastern Mediterranean,15.68929484063361
Europe,11.949106810708043
South-East Asia,5.636716690174242
Unknown,9.740668675826447
Western Pacific,19.81914569479472
