Year,Region,Avg_Obesity
2012,Africa,4.33395868677305
2012,Americas,15.75814161283784
2012,Eastern Mediterranean,13.465394988636364
2012,Europe,11.001559927676283
2012,South-East Asia,4.222701208
2012,Unknown,8.246796197727273
2012,Western Pacific,17.258215580107528
2013,Africa,4.497683051400709
2013,Americas,16.24882415518018
2013,Eastern Mediterranean,13.856513545833334
2013,Europe,11.172783938974359
2013,South-East Asia,4.451884542666666
2013,Unknown,8.5016429
2013,Western Pacific,17.711653930537636
2014,Africa,4.675038554521277
2014,Americas,16.752798681756754
2014,Eastern Mediterranean,14.270981522727274
2014,Europe,11.347707562339744
2014,South-East Asia,4.696399330666667
2014,Unknown,8.768634575
2014,Western Pacific,18.18485183282258
2015,Africa,4.868441162234042
2015,Americas,17.26925294842342
2015,Eastern Mediterranean,14.70649406212121
2015,Europe,11.526761904871796
2015,South-East Asia,4.958730375749999
2015,Unknown,9.049438265151515
2015,Western Pacific,18.675605076317204
2016,Africa,5.08178315466312
2016,Americas,17.79883990563063
2016,Eastern Mediterranean,15.160387943181817
2016,Europe,11.714728302948718
2016,South-East Asia,5.241471883583333
2016,Unknown,9.345964200757576
2016,Western Pacific,19.18725441704301
2017,Africa,5.315825539148936
2017,Americas,18.34354218738739
2017,Eastern Mediterranean,15.624959856060606
2017,Europe,11.913502617275642
2017,South-East Asia,5.544580473166667
2017,Unknown,9.659753408333332
2017,Western Pacific,19.72226267123656
2018,Africa,5.569643951968085
2018,Americas,18.89870662072072
2018,Eastern Mediterranean,16.097417540909092
2018,Europe,12.119313782548078
2018,South-East Asia,5.866885454416666
2018,Unknown,9.99171868560606
2018,Western Pacific,20.281018865053763
2019,Africa,5.84421887214539
2019,Americas,19.466275464864864
2019,Eastern Mediterranean,16.5789007405303
2019,Europe,12.332622888076923
2019,South-East Asia,6.207248337249999
2019,Unknown,10.34058259090909
2019,Western Pacific,20.857588709408603
2020,Africa,6.139489712783688
2020,Americas,20.044936709234236
2020,Eastern Mediterranean,17.08514559128788
2020,Europe,12.551280465128205
2020,South-East Asia,6.563470130333333
2020,Unknown,10.703278463636364
2020,Western Pacific,21.44842302284946
2021,Africa,6.4538837940602845
2021,Americas,20.62820882725225
2021,Eastern Mediterranean,17.609137737500003
2021,Europe,12.772575669439103
2021,South-East Asia,6.9329821594166665
2021,Unknown,11.076898497727273
2021,Western Pacific,22.044092899462367
2022,Africa,6.787274711400709
2022,Americas,21.21360054009009
2022,Eastern Mediterranean,18.12690971818182
2022,Europe,12.987337858509616
2022,South-East Asia,7.317529696666667
2022,Unknown,11.462647649242426
2022,Western Pacific,22.639635637903226
