Country,Avg_Obesity
Niue,40.664873
Cook Islands,39.91717259848485
Nauru,38.512100499999995
Tokelau,37.9609658030303
American Samoa,36.892014833333334
Tonga,36.606795007575755
Tuvalu,33.97153476515152
Bahamas,29.40230953787879
French Polynesia,29.195151386363637
Samoa,29.05947737121212
