Region,Avg_CI_Width
Africa,8.25685521166828
Americas,4.12601847895946
Eastern Mediterranean,6.404022615061983
Europe,2.218282814709499
South-East Asia,8.47876073494697
Unknown,1.5371179371900827
Western Pacific,3.193450378677908
