Country,Avg_CI_Width
"Korea, Democratic People's Republic of",16.306654979545456
Djibouti,14.662605180454547
Equatorial Guinea,14.57989700780303
Eritrea,14.324961031818182
Central African Republic,14.157188863181817
Somalia,13.680599436590908
South Sudan,13.097690566287879
Chad,13.06289539621212
Senegal,12.564260486363636
Sudan,12.436226779545455
