Region,Avg_Malnutrition
Africa,8.502186004690522
Americas,3.174751681130221
Eastern Mediterranean,6.661348821194903
Europe,2.4267592229530885
South-East Asia,13.624524651060606
Unknown,8.354199510537189
Western Pacific,3.4349546565615836
