Region,Avg_Obesity,Avg_Malnutrition
Africa,5.415203744645391,8.502186004690524
Americas,18.40210251394349,3.1747516811302208
Eastern Mediterranean,15.689294840633607,6.6613488211949035
Europe,11.949106810708042,2.4267592229530885
South-East Asia,5.636716690174242,13.624524651060606
Unknown,9.740668675826447,8.35419951053719
Western Pacific,19.819145694794724,3.4349546565615836
