Country,Avg_Obesity,Avg_Malnutrition
Afghanistan,7.763365478030304,9.263800608333332
Africa,4.672289954545454,9.739445734848484
Albania,10.94707069469697,1.9967915524999997
Algeria,15.051907446969695,4.3653325333333335
American Samoa,36.892014833333334,0.7303685143939393
Americas Region,19.320943242424242,2.0242366742424243
Andorra,13.416104843939394,2.226897578787879
Angola,4.7587670477272725,7.776731048484849
Antigua and Barbuda,24.22999109848485,3.327321103030303
Argentina,19.44707260530303,1.8329281954545456
Armenia,12.07961311439394,2.986602856818182
Australia,17.53106227651515,1.4154327802272728
Austria,11.450107584848485,1.932051381439394
Azerbaijan,11.00514694469697,3.839035421969697
Bahamas,29.40230953787879,3.471947396969697
Bahrain,21.79817171969697,4.921455656060606
Bangladesh,1.9766725870454547,18.24576812878788
Barbados,23.99053784848485,4.0791048053030305
Belarus,12.000921097727273,2.377995585606061
Belgium,9.971035699242424,1.905438941212121
Belize,24.03246575757576,2.7521199075757576
Benin,5.407496284848484,6.5523395833333336
Bermuda,20.21359956818182,4.2287218636363635
Bhutan,5.760362584848485,6.222487497727273
"Bolivia, Plurinational State of",16.03734624166667,1.2957406754545455
Bosnia and Herzegovina,13.966352696969697,3.0140628965151515
Botswana,7.22178551969697,10.671912862878788
Brazil,16.61302751818182,2.6853546068181817
Brunei Darussalam,21.334222030303028,3.866840137878788
Bulgaria,14.092730581060607,3.028772281060606
Burkina Faso,1.721495976818182,10.394314095454545
Burundi,2.304665463636364,9.754997409848485
Cabo Verde,5.613056340151515,8.194344444696968
Cambodia,4.38637236219697,9.148485840151515
Cameroon,5.291435759090909,5.092833608333333
Canada,14.875170669696969,1.4495656933333332
Central African Republic,4.4609823833333335,11.369408387878789
Chad,3.184774996060606,11.356671153030304
Chile,28.09270928787879,0.8259732466666667
China,8.621578500757575,4.319780359848485
Colombia,11.2506769,2.25604758030303
Comoros,5.7879170462121206,6.2291609462121205
Congo,3.2391963407575757,8.949703150757577
"Congo, The Democratic Republic of the",3.8617961787878787,9.303515021969696
Cook Islands,39.917172598484846,0.7525749090909091
Costa Rica,16.258680781060605,2.4049034174242427
Croatia,15.020950899242424,1.6725364248484849
Cuba,17.244418454545457,5.650711246212121
Cyprus,16.37619687575758,2.4723173116666666
Czechia,11.748630658333333,2.590926965378788
Côte d'Ivoire,5.451299442424243,7.017438588636364
Denmark,7.464140767424243,2.041723446439394
Djibouti,4.2134647060606065,8.528864038636364
Dominica,19.123337571969696,3.6703801704545453
Dominican Republic,15.771098722727274,4.739914521969697
Eastern Mediterranean Region,13.128259931818182,9.935327257575759
Ecuador,14.185773638636363,1.9027526939393937
