Country,Avg_Malnutrition
India,22.142360613636363
South-East Asia Region,19.238903143939392
Bangladesh,18.24576812878788
Sri Lanka,17.87190712121212
Eritrea,17.472507727272728
Ethiopia,17.392327732575758
Timor-Leste,17.099474628787878
Senegal,16.818375560606057
Niger,16.138561606060605
Pakistan,16.123748233333334
