Model,MAE,MSE,RMSE,R2,Adjusted_R2
Linear_Regression,0.20777526053467146,0.06973930567724342,0.2640820055915272,0.9183277010743138,0.9182414760965629
Ridge,0.20777893327822966,0.06973909916318136,0.2640816145875766,0.9183279429247029,0.9182417182022838
Lasso,0.2079255712581526,0.0697094910118254,0.26402554992239935,0.9183626172846595,0.9182764291694617
KNN,0.12993373646938475,0.031155505391642732,0.1765092218317296,0.9635135204628603,0.9634750001086192
Decision_Tree,0.13265244964947814,0.03439858068118619,0.1854685436433526,0.9597155271803931,0.9596729971204062
Random_Forest,0.11328286953443303,0.02393440925380171,0.15470749579061033,0.9719702080741526,0.9719406158107173
XGBoost,0.1061994246142852,0.021343145444631596,0.14609293427346717,0.9750048593423672,0.974978470891504
